;accountId;id;name;profileIconId;puuid;revisionDate;summonerLevel
0;km3TfBJPTlvMJ7tyxJW97dyZ_ceTB60J4-oJUFcN7wigMt4;3QUGnJWBwZdReCZ81V8oCIIV5FX_0XFfTMhlhTzd2SNArw;É o Crey Crey;1393;mPz6bZseiRo_4EfoHU_D4nP5D7kl10ta-m73zgTOiNbCGm_Et1GdHQZCueA_1Ci4BgQu5QF_mWf9eA;1558965430000;247
0;x7fXPbepnkWoYWNuIXq4t1ON9B-1c9i3IkJ0MxWxuBrhIRfy_eCxtysO;2PTsTHPtSH1mnAEyfpKVWCZ6MjY5k5TPpBReqCwyGO9foxg;VEVARASANA;21;hMBxxh9PEL6a3ucJNkLQtoOKzM4X-WKDmm1xs2fGNCpDey-sQ8jcUkPO8houpxa9PaRb7Gdo0tAV5Q;1558987531000;81
0;xqRjfzVV8wv_i0IJPawi_4arluJGklkN0P4in89ZLxzzHow;x46TsuEFkT-UVCWhasDevZDUYyxqHAzay2n5A32XdYhZBAY;TSF lMath;1260;LLWCnQSYk5IgYOpRSZzhZ6B-xHgoetKEp3C-BUfE02DlN5CRMbz4eX2CjO46ig_UH9SruSbrC600tw;1558844003000;168
0;mRZP59dt4wE2RQbcKV3W6eYbqfARxtKcXvjhb-CcIkHvsM4;jFtCK8DiS0z7MBpSnQr_00mFQXs4Uj4O2sCc8-MDKclpyDU;Senta no boné;3791;j5KNbXDhcNmwpLtubIJ3X-4hAB3wi42YWxOMaDTB_wNMSWNq2I4l7FVRxudb5mmVsLeMFFU7khHJwA;1558604050000;220
0;dALxfVsd-l6Euj85Kz2XyKR-6pAU7aqxWwoT-t0_Yak;kJTff0UUncpvv8I3nkBb4nzBcq91kbShCwNXltCDGlLQ;Quybaratto;4092;WTCS1E_lgwXgAeLAVkl094Y5D1ciJk8wVOmKPr9fJEUzOpPbfWp1bySvkRy5jTwwXvdhRykimJCisA;1558966813000;154
0;LO-CbE7t-SQ7lyzFq1yaYRsSxD_0a8M2PcgU8yrT5CcAKQU;jw0D1oUlV_nbfXe9NQbhcTLFAmEyEIXgLM6ZFdkH-pyfIA;Raffits;556;AJmIYsV6Eg7K62t2gGlLJJxg-mA-AOgYKQzORdZM_kVFzXCKKjGCrw5hTUF7HuDjKCDcClE8AMwNog;1558950564000;206
0;TJTCZS6ENd0JoqpmKgIQV7Vv4TlUz___A5nJDNBb4lCwMn0;jwbvlQ1pQEnvLj-4E3n61sXI_gAPl8mCqDlv6uEOm0usIw;BF781;7;QFmpocrxUNslblW6KlelIs976IZNxSQOxoiGJqj_cnfSbcD9gm8pUVGBLvA_XGl19DzAcdSnGN6F6A;1558873365000;139
0;-CQNWtMTVN6eCwRwjPqDaKSx9tNedJ4eW8mk6ipTsZg;V8lEXsK8XU56olJSDfC8J5Yngz58iP6LwNnQkSL8c-gs;Filthy;4087;68nQzkfHzagL5ejKJ5a2hAsRCghxynok1x94681S_tX3qDEB1KndG1BVjCyvbn2fkAR0pJ3_WDcwTg;1558980509000;259
0;LEsBTXLwcMGFPo9r3lXpNqQlwq9IRYW7L_liwzyMIjeRrUM;zrawdx3p-L__v6z7ewp9teUklquTS4qq6RwO0XaAreIHQA;ME CURA KATTO;3604;zNZ4pvmrRYlLhtNKfT73l0NQJKt_Uomt3YUBd_olBxKRL5NCN36M9IFAGyS5O1tF67wQ0CERgcHrqw;1558832958000;128
0;-Sc4QrI3lK_5pYKAfS_i1K93RLCx2vxrsTsYILh_ANHbs40;NG_MKUgqfafZGGoymiu6VDp729DXwEG8BDRWwdYGJMtsc30;kv1kvk1vk1vk1kkv;3361;qXkAV1QsipqCtgUFzSMnT6Doy6fvmDDH-qJ2IkckpPqMCfT5b-r9WzvcnnDUeIu6USauNUNqzNUhlw;1558989982000;128
0;SK_4LW9-ZrtyU_91GlxFIug59TnhMThUizpJvKDe_bQTPtA;4jJ64PhcOacsKulxz6L8VaAEhT9pHg-l4JM66tocqaPw02o;o Util;4086;-NVuiV_V0vvFiWV2zGkqstJQzmxrnv8qPjd7A20BoiIePb-XtoHkfMhSPK11nmetjrDxhPxqkMASEw;1558982053000;240
0;DQkGQllgDZswmLKn_q2y0zjceEoGsYaRoIlEBT-VAUWoGFU;eNxXaBZPfFkEPfhFjHvmmXFJOOn1u_bUH3ifNO4rQR2ibg;Lu Bu;3505;bJIwE0t7SbnNc3NL4aolncSBGuFJsWw08qkOzEPj-ntQjMA5zXD_ildeHLCu0JOZB0rqtMuGhUVwIw;1558990829000;208
0;mS8Q4Tqx8FiG6bQWEe_F4JglMa9vM_eeVxbVWeJaFPa8EPI;FfmXBnVnCOnOc16Q8QrWCfpWp6MUYrKL67jcA-9mk3Eodg;Nagareboshi;745;_YNNosReKuRNuWr1pmu97kzOlVS-OGqQzQ-w8mkIW5KEW8Wn0WhrP-61B9rhMw1zLB2XvjrEIXJZQg;1558987718000;195
0;CQrCRHIhZfZPiz1RAVbsAas5qR1q3WIfXJLBvdeApdw;wldlfs6oxjewfcZCV_YoGOHN8NKICykRyJo9u8Z_-nhy;scolA;527;4nx4RyBdHHw0Rh2Wrcrbw_FgtaUguuRGbMMqcrf2dAumKk9S_d8vp8Jy67BPSEYYJ5O_a38lFu6hPA;1558976532000;214
